category,city_name,law_name,hyperlink,state_code
State,California-Statewide,California Tenant Protection Act (AB 1482),https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=201920200AB1482,CA
State,California-Statewide,California Civil Code - Landlord Tenant,https://leginfo.legislature.ca.gov/faces/codes_displayexpandedbranch.xhtml?tocCode=CIV&division=3.&title=5.&part=4.&chapter=2.&article=,CA
State,California-Statewide,California Fair Employment and Housing Act (FEHA),https://www.dfeh.ca.gov/housing/,CA
State,California-Statewide,California Security Deposit Law (Civil Code 1950.5),https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=1950.5&lawCode=CIV,CA
State,California-Statewide,California Department of Insurance - Homeowners,https://www.insurance.ca.gov/01-consumers/105-type/95-guides/01-homeown/,CA
State,California-Statewide,California Renters Insurance Guide,https://www.insurance.ca.gov/01-consumers/105-type/95-guides/03-renters/,CA
City,Los Angeles,LA Rent Stabilization Ordinance (RSO),https://housing.lacity.gov/residents/rso-overview,CA
City,Los Angeles,LA Housing Department - Tenant Rights,https://housing.lacity.gov/residents/tenant-protections,CA
City,San Francisco,SF Rent Board - Rent Ordinance,https://sfrb.org/san-francisco-rent-ordinance,CA
City,San Francisco,SF Tenant Rights,https://sftu.org/tenants-rights/,CA
City,San Diego,San Diego Tenant Protection Ordinance,https://www.sandiego.gov/tenant-protection-ordinance,CA
State,NewYork-Statewide,New York Housing Stability and Tenant Protection Act 2019,https://www.nysenate.gov/legislation/laws/RPP/A7,NY
State,NewYork-Statewide,New York Real Property Law,https://www.nysenate.gov/legislation/laws/RPP,NY
State,NewYork-Statewide,NY Department of Financial Services - Insurance,https://www.dfs.ny.gov/consumers/homeowners_insurance,NY
State,NewYork-Statewide,New York Security Deposit Law (GOL 7-108),https://www.nysenate.gov/legislation/laws/GOB/7-108,NY
City,New York City,NYC Rent Stabilization,https://rentguidelinesboard.cityofnewyork.us/resources/faqs/rent-stabilization/,NY
City,New York City,NYC Tenant Rights - HPD,https://www.nyc.gov/site/hpd/renters/tenants-rights.page,NY
City,New York City,NYC Housing Maintenance Code,https://www.nyc.gov/site/hpd/about/housing-maintenance-code.page,NY
Federal,Texas-Statewide,HUD Pet Policy in Federally Assisted Housing,https://www.ecfr.gov/current/title-24/subtitle-B/chapter-I/subchapter-A/part-5/subpart-C,TX
Federal,Texas-Statewide,Fair Housing Act - Assistance Animals,https://archives.hud.gov/news/2020/HUDAsstAnimalNC1-28-2020.pdf,TX
State,California-Statewide,California Pet Friendly Housing Act (AB 2216),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2216,CA
State,NewYork-Statewide,New York Pet Law for Tenants,https://www.nysenate.gov/legislation/laws/RPP/227-O,NY
State,Texas-Statewide,Texas Property Code - Pet Deposits and Policies,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.92.htm,TX
Federal,Texas-Statewide,NFIP - National Flood Insurance Program,https://www.floodsmart.gov/,TX
State,Texas-Statewide,Texas Department of Insurance - Homeowners,https://www.tdi.texas.gov/consumer/cb-homeowners.html,TX
State,NewYork-Statewide,NY Homeowners Insurance Guide,https://www.dfs.ny.gov/consumers/homeowners_insurance,NY
State,Texas-Statewide,Texas Penal Code - Theft,https://statutes.capitol.texas.gov/Docs/PE/htm/PE.31.htm,TX
